policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,raw_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_verification_rate,alert_only_rate,embedding_rate,raw_audio_rate,priority_false_positive_cost
always_cloud,0.9008363201911589,0.8881291785563465,0.9034672752593954,0.8937048467258635,0.9008363201911589,0.9008363201911589,0.9008363201911589,0.8910940836578312,0.8807157667213338,0.8979678092262569,0.8867757935236942,128000.0,128000.0,0.0,1.0,0.0,0.0,1.0,0.9722891566265061
edge_only,0.6606929510155317,0.6875661576300547,0.6851724287178038,0.6646334577947487,0.6606929510155317,0.6606929510155317,0.6606929510155317,0.6539379474940322,0.6480172384808786,0.6939144300345762,0.6422451675101938,64.0,128000.0,0.9995,0.0,1.0,0.0,0.0,1.0862676056338028
fixed_threshold,0.8458781362007168,0.845302351890487,0.859312494847425,0.8466971259468729,0.8458781362007168,0.8458781362007168,0.8458781362007168,0.8414772013566129,0.8198758613342699,0.8625330479449901,0.8328641986138412,61357.11350059737,128000.0,0.5206475507765831,0.47909199522102747,0.5209080047789725,0.0,0.47909199522102747,1.0844961240310076
fixed_triage,0.8219832735961768,0.8245842438841523,0.8359444051867293,0.8243717349725621,0.8219832735961768,0.8219832735961768,0.8219832735961768,0.8147217686220313,0.7985695304369174,0.837594990044739,0.8093814749753993,32511.69414575866,128000.0,0.7460023894862604,0.47909199522102747,0.5209080047789725,0.22580645161290322,0.2532855436081243,1.0671140939597314
adaptive_triage,0.8673835125448028,0.8526124380168156,0.8763185954963548,0.8575701690141436,0.8673835125448028,0.8673835125448028,0.8673835125448028,0.8696143700540124,0.8217782348624937,0.8844075173226574,0.8429628688020926,60470.28912783752,128000.0,0.5275758661887694,0.6296296296296297,0.37037037037037035,0.15770609318996415,0.47192353643966545,1.1666666666666667
