policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_upload_rate,embedding_route_rate,priority_false_positive_cost
always_cloud,0.9008363201911589,0.8875012281097344,0.904717687465404,0.8940772621766465,0.9008363201911589,0.9008363201911589,0.9008363201911589,0.9064187916090931,0.8776216186970464,0.9140780189344917,0.8934581889173776,128000.0,0.0,1.0,0.0,1.0228915662650602
edge_only,0.5937873357228196,0.6148974724828413,0.613629544571247,0.5711686762031767,0.5937873357228196,0.5937873357228196,0.5937873357228196,0.5892475819620655,0.5680749572793908,0.6281656283763304,0.5471475543228329,64.0,0.9995,0.0,0.0,1.1555882352941176
fixed_threshold,0.8805256869772998,0.8656517154913235,0.8831189287943563,0.869123004110574,0.8805256869772998,0.8805256869772998,0.8805256869772998,0.8860695892475806,0.8472707974050883,0.893351618185866,0.8636249893756525,95901.36200716846,0.2507706093189964,0.7491039426523297,0.0,1.063
fixed_triage,0.8626045400238949,0.853773289686299,0.867094832408814,0.8515207439489675,0.8626045400238949,0.8626045400238949,0.8626045400238949,0.863082527320687,0.8217815042240163,0.8738943717242915,0.8356914900501904,95901.36200716846,0.2507706093189964,0.7491039426523297,0.0,1.183478260869565
adaptive_triage,0.9080047789725209,0.891357651336491,0.9159014356546418,0.9002832403852995,0.9080047789725209,0.9080047789725209,0.9080047789725209,0.9069212410501187,0.8761613988850686,0.9193725732871985,0.8935318973570282,120051.76583034647,0.062095579450418215,0.937873357228196,0.0,1.072727272727273
