policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,alert_only_rate,embedding_rate,raw_audio_rate,cloud_verification_rate,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_upload_rate,priority_false_positive_cost
always_cloud,0.8960573476702509,0.8856835310013625,0.9018175797029763,0.8915109135488463,0.8960573476702509,0.8960573476702509,0.8960573476702509,0.9006406230373062,0.0,0.0,1.0,1.0,0.8760642161944264,0.9092329009115071,0.8903278057512045,128000.0,0.0,1.0,1.011494252873563
edge_only,0.5758661887694145,0.6215986750893308,0.6078052738814496,0.5819266380995597,0.5758661887694145,0.5758661887694145,0.5758661887694145,0.5837206381107899,1.0,0.0,0.0,0.0,0.5855310409115565,0.6318929208849178,0.5666124250796436,64.0,0.9995,0.0,1.1422535211267606
fixed_threshold,0.8207885304659498,0.8281279772899742,0.8344007908466711,0.8192803854682007,0.8207885304659498,0.8207885304659498,0.8207885304659498,0.8321818866976517,0.4253285543608124,0.0,0.5746714456391876,0.5746714456391876,0.8249671705955851,0.8514625177817441,0.8274355115414415,73585.1660692951,0.42511589008363204,0.5746714456391876,0.925333333333333
adaptive_triage,0.8482676224611708,0.8356231025245014,0.8630425646869002,0.8400108908538018,0.8482676224611708,0.8482676224611708,0.8482676224611708,0.8562994598668502,0.27120669056152924,0.2126642771804062,0.5161290322580645,0.7287933094384708,0.8012535556376217,0.8758641172897038,0.8255077574071492,66136.31541218638,0.48331003584229393,0.7287933094384708,1.1999999999999995
