policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_upload_rate,embedding_route_rate,priority_false_positive_cost
always_cloud,0.8351254480286738,0.8233756276042667,0.8429130775300615,0.8304408815115301,0.8351254480286738,0.8351254480286738,0.8351254480286738,0.8373319934681562,0.8124440739637975,0.8513096671056289,0.8284688482029459,128000.0,0.0,1.0,0.0,0.9905797101449274
edge_only,0.36917562724014336,0.4944395553589279,0.3968742860003062,0.34618145756211066,0.36917562724014336,0.36917562724014336,0.36917562724014336,0.3900263785956533,0.4683747439612969,0.442626195354547,0.3520527427949829,64.0,0.9995,0.0,0.0,1.0981060606060604
fixed_threshold,0.8458781362007168,0.8308304077007793,0.8481244950476391,0.8333894052653387,0.8458781362007168,0.8458781362007168,0.8458781362007168,0.8461248586860941,0.798739701117264,0.854128666246571,0.8170295654776437,121427.42174432497,0.05134826762246125,0.948626045400239,0.0,1.173643410852713
fixed_triage,0.8542413381123058,0.8423070964936972,0.870220194561236,0.8510815482119358,0.8542413381123058,0.8542413381123058,0.8542413381123058,0.8667252857681186,0.8290372406055282,0.8883896500502482,0.852544379295324,121427.42174432497,0.05134826762246125,0.948626045400239,0.0,1.0532786885245902
adaptive_triage,0.8542413381123058,0.8442919119259924,0.8654365673839053,0.8518578062384691,0.8542413381123058,0.8542413381123058,0.8542413381123058,0.8574299711091564,0.8417196019719225,0.8753829725415916,0.854918733274197,127694.29868578256,0.0023882915173237818,0.997610513739546,0.0,0.9254098360655737
