policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_upload_rate,embedding_route_rate,priority_false_positive_cost
always_cloud,0.8351254480286738,0.8233756276042667,0.8429130775300615,0.8304408815115301,0.8351254480286738,0.8351254480286738,0.8351254480286738,0.8373319934681562,0.8124440739637975,0.8513096671056289,0.8284688482029459,128000.0,0.0,1.0,0.0,0.9905797101449274
edge_only,0.36917562724014336,0.4944395553589279,0.3968742860003062,0.34618145756211066,0.36917562724014336,0.36917562724014336,0.36917562724014336,0.3900263785956533,0.4683747439612969,0.442626195354547,0.3520527427949829,64.0,0.9995,0.0,0.0,1.0981060606060604
fixed_threshold,0.5364396654719236,0.6049473865910724,0.5449196006901508,0.5073155809291492,0.5364396654719236,0.5364396654719236,0.5364396654719236,0.5525687727672399,0.5537731176273853,0.5781198360620685,0.4894500216140039,37665.261648745516,0.7057401433691757,0.2939068100358423,0.0,1.2494845360824745
fixed_triage,0.6069295101553166,0.6605920721836321,0.6187310826885253,0.5917357618159095,0.6069295101553166,0.6069295101553166,0.6069295101553166,0.6268056776786829,0.6076888100128399,0.6520728828247535,0.5723585754002405,37732.54958183991,0.7052144563918757,0.2939068100358423,0.2628434886499403,1.2759878419452888
adaptive_triage,0.4850657108721625,0.5841852586881889,0.50926072471705,0.47289614614185194,0.4850657108721625,0.4850657108721625,0.4850657108721625,0.5104886320813958,0.5517284939433377,0.5533940616836277,0.47349892941604466,6093.992831541219,0.9523906810035843,0.04659498207885305,0.26881720430107525,1.1201856148491878
