policy,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_event_score,priority_weighted_precision,priority_weighted_recall,priority_weighted_f1,avg_bytes_per_clip,raw_bytes_per_clip,bandwidth_reduction_vs_always_cloud,cloud_verification_rate,alert_only_rate,embedding_rate,raw_audio_rate,priority_false_positive_cost
always_cloud,0.8876941457586619,0.8745786537922896,0.8923776381184562,0.881198039170977,0.8876941457586619,0.8876941457586619,0.8876941457586619,0.8915965330988561,0.8640915288762098,0.8993982223916024,0.879215630900614,128000.0,128000.0,0.0,1.0,0.0,0.0,1.0,1.0170212765957447
edge_only,0.5758661887694145,0.6215986750893308,0.6078052738814496,0.5819266380995597,0.5758661887694145,0.5758661887694145,0.5758661887694145,0.5837206381107899,0.5855310409115565,0.6318929208849178,0.5666124250796436,64.0,128000.0,0.9995,0.0,1.0,0.0,0.0,1.1422535211267606
fixed_threshold,0.8136200716845878,0.82167637389904,0.8261588553628002,0.8103851296962971,0.8136200716845878,0.8136200716845878,0.8136200716845878,0.8247707574425326,0.813699955889189,0.8419291635694047,0.8153233783686074,73585.1660692951,128000.0,0.42511589008363204,0.5746714456391876,0.4253285543608124,0.0,0.5746714456391876,0.9487179487179487
fixed_triage,0.7837514934289128,0.7940514904790542,0.810831753701021,0.786210562592393,0.7837514934289128,0.7837514934289128,0.7837514934289128,0.8021605325964071,0.7801339938140938,0.8378465349025291,0.7927471317982923,41992.56391875747,128000.0,0.6719330943847073,0.5746714456391876,0.4253285543608124,0.24731182795698925,0.32735961768219835,0.9983425414364641
adaptive_triage,0.8339307048984468,0.8153979199273922,0.8415212197764665,0.8206422973955183,0.8339307048984468,0.8339307048984468,0.8339307048984468,0.8345685215425191,0.7841403336464533,0.8480392034784927,0.8046677089490665,66135.39784946236,128000.0,0.4833172043010753,0.7240143369175627,0.27598566308243727,0.2078853046594982,0.5161290322580645,1.1338129496402876
